Country Name,Code,income,education,GDP growth,GDP,gini,gni,educational expenditure,inflation,elderly,population density,undernourishment,unemployment
,,Adjusted net national income per capita (constant 2015 US$),"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",Gini index,"GNI, PPP (current international $)","Government expenditure on education, total (% of government expenditure)","Inflation, consumer prices (annual %)",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Afghanistan,AFG,..,..,1.535636674,2152.190243,..,83174634965,11.34377003,2.302372515,2.615794214,58.32567806,26.9,..
Albania,ALB,3621.917959,..,2.523893723,13999.42397,30.8,39434065969,13.43000031,1.41109079,14.20263062,104.1675547,4.3,11.47000027
Algeria,DZA,3580.583591,..,-0.934555885,12008.26483,..,5.04E+11,14.46348,1.951768211,6.552777882,18.07629545,2.5,..
American Samoa,ASM,..,..,-0.219737965,..,..,..,..,..,..,276.56,..,..
Andorra,AND,..,..,1.833060593,..,..,..,10.89523983,..,..,164.1404255,..,..
Angola,AGO,2903.384678,..,-3.868559124,6995.299736,..,2.03E+11,6.045355797,17.08121521,2.19934175,25.52763215,17.9,..
Antigua and Barbuda,ATG,..,..,3.96278456,22772.30934,..,2072545831,8.54749012,1.431355982,9.054964064,220.7159091,..,..
Argentina,ARG,10423.89084,..,-2.994387889,22997.39176,42.9,9.93E+11,12.5300703,..,11.24310827,16.42082662,3.5,9.840000153
Armenia,ARM,3827.659035,..,7.38219728,14230.01487,29.9,42641728944,10.01000023,1.443446608,11.48366772,103.889287,3.1,12.19999981
Aruba,ABW,..,..,-2.512956903,39834.2239,..,4038654381,..,4.257462043,14.05835544,590.6111111,..,..
Australia,AUS,..,49.61824036,0.571102988,51748.39772,..,1.27E+12,..,1.610767873,15.92120175,3.297670183,2.5,5.159999847
Austria,AUT,37607.71964,32.11796188,1.04090812,58076.3488,30.2,5.14E+11,..,1.530895642,19.07560629,107.6093068,2.5,4.489999771
Azerbaijan,AZE,..,30.02013969,1.635850481,15051.56128,..,1.45E+11,8.290690422,2.610571828,6.44638912,121.2800711,2.5,4.849999905
"Bahamas, The",BHS,29292.7174,..,0.888676588,38063.81604,..,14147593739,11.26228237,2.491235274,7.483272654,38.90969031,..,..
Bahrain,BHR,16202.81945,..,-2.298051243,47224.23713,..,72968493134,8.489999771,1.005820047,2.518809729,2095.994891,..,..
Bangladesh,BGD,1409.978983,16.20527077,6.777292217,5784.269636,..,9.82E+11,9.273750305,5.591996399,5.180351348,1252.563363,11,..
Barbados,BRB,..,..,-0.74220746,16153.97126,..,4403223696,10.77849007,4.100289645,16.23099033,667.4906977,3.7,8.409999847
Belarus,BLR,5271.029071,73.76670074,1.604818192,20092.88037,25.3,1.84E+11,13.33073997,5.59815595,15.20084135,46.41075062,2.5,4.159999847
Belgium,BEL,35463.78816,37.06785965,1.561146953,54278.38945,27.2,6.29E+11,..,1.43681957,19.00656607,379.4247028,2.5,5.360000134
Belize,BLZ,3547.946272,..,0.063361176,7454.532388,..,2665380633,22.20202065,..,4.86738926,17.11315213,6.8,9.050000191
Benin,BEN,1068.538444,..,4.003089135,3426.049089,..,40028224270,..,-0.705026635,3.264884925,104.6572455,7.7,..
Bermuda,BMU,..,..,0.317253011,85129.07046,..,5515328785,..,..,..,1183.537037,..,..
Bhutan,BTN,2636.377031,..,4.549737283,12365.51384,..,8581822999,20.38315964,2.725821043,6.092974373,20.00770844,..,..
Bolivia,BOL,2880.79095,31.09922981,0.796515958,9092.687044,41.6,1.03E+11,13.52000046,1.83954505,7.338631646,10.62780578,11.9,3.819999933
